Computed,n,s,Avg. FLOPs,Cols Fetched,Avg. Linf Error,Time
Power,597,3,4.75796004275293,2.775974331129369,-5.728831379395808,0.8623080205239597
Priority,597,3,4.027330786370957,2.5443860923190145,-3.918130296058371,0.0637363640550381
Bidir,597,3,4.310778251612534,2.554069619334995,-4.18658893336169,0.3305912828760387
Power,871,3,4.904982277728415,2.9400181550076634,-6.166761267043075,1.0157572834349988
Priority,871,3,4.080213786978045,2.621815185136902,-3.943784044679062,0.1551758610386634
Bidir,871,3,4.439941696187461,2.734656250992913,-4.208877274129813,0.5765447627022637
Power,1295,4,5.102847306238646,3.1122697684172707,-6.889924996951445,1.2953365579847176
Priority,1295,4,4.287928753681385,2.855731102642644,-4.010829747248213,0.3996783813428618
Bidir,1295,4,4.600739358805938,2.894080571356328,-4.4383461622107205,0.8388732112879881
Power,1114,4,5.025440229939671,3.04688519083771,-6.352780661317823,1.1403049515680028
Priority,1114,4,4.27342551525763,2.843279507414831,-3.994263075911102,0.3683469299893636
Bidir,1114,4,4.511188937140217,2.722880610686939,-4.370173355864006,0.6080874533442368
Power,588,3,4.73535318852789,2.769377326076139,-5.855534342168985,0.8577832707603974
Priority,588,3,4.031233364515516,2.5547531074653285,-3.9859035601827233,0.0703870259623439
Bidir,588,3,4.370157567843588,2.625444371160101,-4.140268798557982,0.3923317602358654
Power,2627,4,5.400576525184127,3.41946007278607,-6.242497460784828,1.5770507579219737
Priority,2627,4,4.359359713549597,2.9638338794618067,-3.992712825533026,0.7086371245272324
Bidir,2627,4,4.583864515372339,2.828235358531115,-4.646244794032547,0.9357721890927444
Power,87,2,3.9160516377458863,1.939519252618619,-5.652409298715122,-0.164733824062448
Priority,87,2,3.4431673364997257,1.816425440118308,-3.983066043081621,-0.537007624448822
Bidir,87,2,3.646104071872092,1.7368389826836437,-4.029081400356419,-0.3420908666635526
Power,1039,4,5.001220929734215,3.0166155475571776,-6.467785616331136,1.1138038563087622
Priority,1039,4,4.25887962037066,2.816274450977021,-3.970302480950237,0.3943243232307324
Bidir,1039,4,4.5502381398627225,2.842749613845012,-4.207021775464021,0.7666354207435899
Power,863,3,4.902149110746132,2.9360107957152093,-6.467537569923609,0.9926775071389784
Priority,863,3,4.072424300765864,2.612022699445949,-3.997705375603661,0.4719238883977517
Bidir,863,3,4.274080247435801,2.453710267229944,-4.452125948651663,0.4818345131700082
Power,59,2,3.733784031930579,1.7708520116421438,-5.397833384727063,-0.3362285860449121
Priority,59,2,3.3616576958413424,1.7202774626998167,-3.993833273058338,-0.7048215810127781
Bidir,59,2,3.621303909381752,1.7002090764515672,-4.374405947491347,-0.4627998718804982
Power,338,3,4.48808032248389,2.5289167002776547,-5.607168189762053,0.4452966113769133
Priority,338,3,3.948648427926978,2.4397480879144453,-3.931682823600893,-0.0559629739224718
Bidir,338,3,4.225608504392858,2.435869501918656,-4.265747614264513,0.2693103495675309
Power,3540,4,5.537098296070687,3.549003262025788,-6.766184728931427,1.7520816355698414
Priority,3540,4,4.36381690422582,2.9635574934860576,-4.032779385953885,0.8412124138569503
Bidir,3540,4,4.702660611214626,3.022086216835026,-4.432009258020586,1.1481152448319052
Power,1979,4,5.280661442865795,3.296445794206396,-6.787058071142724,1.4204228729656152
Priority,1979,4,4.33346087747514,2.9239301591316305,-3.992690433759948,0.530096644245869
Bidir,1979,4,4.6070945701025225,2.9103842494139944,-4.3271528193696485,0.9874133196704444
Power,627,3,4.755731630143802,2.797267540830717,-6.283028600152603,0.7549678858610593
Priority,627,3,4.03820632193629,2.5635723524919207,-3.9730773175692695,0.0564415124627503
Bidir,627,3,4.316613805730624,2.545180194719644,-4.2904572350164285,0.5576790495839897
Power,893,3,4.919776266025961,2.950851458888547,-5.524655368256141,1.0576504570788228
Priority,893,3,4.080509934302623,2.62104305852116,-3.970990569784739,0.3776131373430378
Bidir,893,3,4.297589935045712,2.543399384507789,-4.301125717924011,0.3527706630585271
Power,3650,4,5.544016803658013,3.562292864456474,-6.531517303377483,1.741415550990942
Priority,3650,4,4.377776529437081,2.9887872782828144,-4.089017690899109,0.8026174780195221
Bidir,3650,4,4.713987104943311,3.04669497776446,-4.311550819653878,1.1787208551186683
Power,2005,4,5.284171433406788,3.302114376956201,-6.732982137320896,1.4253324202496018
Priority,2005,4,4.331253645249799,2.918187661358925,-4.038375885573928,0.4938981981453429
Bidir,2005,4,4.655023120083466,2.967302212078592,-4.349702951437448,0.9214732045903272
Power,2051,4,5.294649809448621,3.311965660368366,-5.771384313674729,1.495012440873841
Priority,2051,4,4.337637471742122,2.929668090656241,-3.993304767089197,0.6755509233872257
Bidir,2051,4,4.517932244275761,2.7483393227687145,-4.4855521577469695,0.7358681110151755
Power,410,3,4.573261656408937,2.6127838567197355,-6.411248364516964,0.6558353057072918
Priority,410,3,3.981000301969487,2.4850112145785728,-3.974074827297616,0.2770806780939167
Bidir,410,3,4.291791673839361,2.5050428200806234,-4.281989578358626,0.3266653434141917
Power,1709,4,5.213212049546597,3.2327420627207366,-6.096501075368403,1.3608755003832018
Priority,1709,4,4.32135294433025,2.9105443678188694,-3.967123814928463,0.4624374284722371
Bidir,1709,4,4.612672090954521,2.897846931579572,-4.323246855065253,0.7504006899835839
Power,486,3,4.65705106985189,2.6866362692622934,-6.343517746618675,0.7779372760381357
Priority,486,3,4.000510567221041,2.51451280078856,-3.976659294422977,-0.001024946775421
Bidir,486,3,4.266627747541533,2.4701318390566875,-4.2905604220484825,0.2625991197903091
Power,322,3,4.470336588235708,2.5078558716958304,-6.305400889598465,0.4312161391976712
Priority,322,3,3.939110513499518,2.4274092269402305,-4.013284415225688,-0.0732186432162669
Bidir,322,3,4.229657596686416,2.4380424414136144,-4.329499043142695,0.3481578838858173
Power,961,3,4.958728009663524,2.9827233876685453,-6.0462382310464,1.1169873313840046
Priority,961,3,4.083320660951949,2.6254707503918584,-3.985919299749486,0.3337937982191462
Bidir,961,3,4.345065439745034,2.5669358221199743,-4.188105131810347,0.3851658943420121
Power,1172,4,5.051757314627441,3.068927611682072,-6.680624234914075,1.1632857005710244
